face frumos
capacitate indiferență
desconsidera stima
fin rugos
capacitate incapacitate
descotorosi impune
scump sărac
entuziasma liniști
omite serios
conserva părăsi
inumanitate omenie
nenorocire șansă
inflație regres
descheia nasturii
găsi pierde
bună stricăciune
hipotiroidism hipertiroidie
analog deosebit
ascendent descendent
priori posteriori
bine supărare
încorda deconecta
muta staționa
miez tardiv
frate soră
meritoriu nevrednic
minte prostie
sfârșit timp
internațional intern
constanță inconstanță
relaxa tensiona
îndepărta gara
premerge succeda
minorat majoritate
dinăuntru pe
liniști înflăcăra
altorelief basorelief
anormal normal
acord neînțelegere
de naturală
înainte în
acord dezaproba
plângeri plângăcios
cuvânt pe
larg îngust
favorizare imparțialitate
majorat minorat
echivoc inechivoc
reptile reptilă
lăsa mobiliza
nepăsare sensibilitate
tridimensional unidimensional
artifact obiect
ridica asfinți
agrava îndrepta
ascuțit triunghi
cod legislație
fumător nefumător
funcționa merge
fecund steril
comunicativ necomunicativ
impersonal personal
nepotrivit nimerit
asocia separa
luminozitate obtuzitate
amănuntul ridicata
reacție tembelism
copil fiică
extensor flexor
profunditate ușurință
blama dispensa
îndepărta trage
nesportiv sportiv
aseptic septic
bunăvoință nesuferit
hotărâre șovăială
crede încredere
absorbi exala
aproba avea
cu mare
corect strâmb
grijă indiferență
temeritate timiditate
dori sâmbetele
de nesigur
descotorosi cere
devaloriza crește
economisi irosi
angaja concedia
fără tact
cinsti disprețui
drumul închide
luciditate smintire
accesibil neaccesibil
îngloba îndepărta
focaliza diminua
atent știință
deteriora înzdrăveni
în îngust
clasă sărac
bunăvoință de
da neliniști
intermitent necontenit
evidență irealitate
dezbrăca echipa
corelație izolare
naștere sucombare
divin pământesc
conformare nesupunere
avantaj neajuns
păstra înceta
exclude îngloba
desfunda obtura
activă pasivă
băga investițiile
mic mai
amuți vorbi
frumos neatrăgător
bagateliza mistifica
menține voma
luminos mat
fiasco realizare
analfabet de
pleca veni
extinde intra
investi investițiile
gravitate ușurătate
necunoaștere renume
aprobare blam
depresie înflăcărare
prefăcătorie veridicitate
la manual
dârzenie teamă
decontaminare poluare
băiat copilă
eșua reuși
nesănătos salubru
alene sprinten
descuia încuia
incredulitate încredințare
existent inexistent
nerealist realistic
nevinovat vinovat
neadecvat potrivit
exclude include
bagateliza prim-plan
binecuvântare blestema
nepăsător prudent
capitula piept
consonanță conflict
bravură teamă
cea mai
control necontrolat
credul precaut
avansare degradare
dura una
folos morbiditate
rata lovi
neglijent prudent
anestezie fire
imaginativ imaginație
emoție emoționant
despovăra încărca
conecta scoate
fereca slobozi
bune grosolănie
agreabil dezagreabil
bravură temere
neprevăzut predictibil
pământul zidi
sănătos uituc
limpezime neclaritate
minimaliza maximaliza
agitație pace
intolerant tolerant
heterodox ortodox
capitula rezista
umiditate uscăciune
curat sub
grupa divide
existență inexistență
discontinuu neîntrerupt
lenevi munci
dezvolta tăia
intelectualism naivitate
cupla despărți
ascultare neascultare
convenabil nepotrivit
de liber
concentra estompa
flexibilitate inflexibilitate
blând intens
maniabil stăpânit
nesiguranță securitate
alipi detașa
nelimitat redus
înregistra preda
heterosexual pederast
inteligent neinteligent
prietenie vrăjmășie
intangibilitate tangibilitate
răutate voioșie
soț soție
ascuns deschis
necivilizat politicos
demobiliza mobiliza
ridica retrograda
condiționat necondiționat
alcoolic abstinent
echitabil neechitabil
deprimant voios
flexibilitate rigiditate
bun rău
conexiune izolare
considerație lipsă
consecutive simultane
asperitate catifelare
seda stimula
deprecia aprecia
neatrăgător plăcut
echitabil nedrept
progresa retrage
imobilitate mobilitate
fine plecare
des rareori
alipi desface
curățenie dezordine
failibilitate infailibilitate
dezonora onora
grabnic grabă
frumusețe urâțenie
de submarin
deprecia sui
fericire tristețe
altruism egocentrism
tensiona destinde
fleac trebuință
civilă minoritate
lipsă lealitate
nepărtinitor părtinitor
monosemie polisemantism
comun propriu
grăsime slăbiciune
asfinți răsări
decis indecis
concizie vorbărie
inconștient lucid
trecut viitorime
conformist nonconformist
ascendent urmaș
față spate
amor ură
susținător vrăjmaș
mări reduce
binaural monaural
discreditare nume
influență slăbiciune
abilitate nepotrivire
consoană continuă
bărbăție temere
înregimenta elibera
impolitețe manieră
caracter corectitudine
cunoștință străin
lua nesocoti
diplomatic nediplomatic
usca înmuia
minor mare
disjunge legatură
desconsidera flata
dispoziție răutate
suprima înființa
loga ieși
critica elogia
amabil necivilizat
agale vioi
moarte păcat
ager încetișor
afară înăuntru
clar neinteligibil
adăuga scoate
coerență inconsistență
exagerare jumătate
asperitate netezime
față verso
nedemn valoros
mijloc întârziat
repede încet
limpezi întuneca
elibera reține
dispus demoralizant
opri vomita
curăți mânji
nerezonabil rezonabil
pierde profita
inamic sprijinitor
civilitate necuviință
capitalism socialistă
grăsan și
meditativ mut
eterogen unitar
afinitate consanguinitate
lua rata
fără potrivit
export import
investi înceta
isprăvi începe
de dezaproba
ezitare fermitate
maturitate putere
slab viguros
moale necruțător
inconștiență minuțiozitate
grăbit în
menține pierde
important secundar
profita pierde
extraordinar normal
ireproșabil imperfect
dezagrega încorpora
mare mic
gutuia naște
experimentat experiență
bonitate insolvabilitate
vlăgui împrospăta
rost semnificativ
aciditate alcalinitate
sarcinii unui
colorat decolorat
aproba dezaproba
accept dezaprobare
dubiu siguranță
da participa
dibui rătăci
discontinuu neîncetat
compus exclude
curat dezgustător
de gravitație
mic mare
dinamism inactivitate
invalid valid
hiperpigmentare hipopigmentare
generalitate specific
bravură frică
dinadins neintenționat
calm furtunos
centraliza descentraliza
destupa pune
sătura flămânzi
duce apropia
de lașitate
aer dezumfla
cu insensibil
tăios tocit
necuviință prețuire
primejdie siguranță
contaminat curat
deslușit imprecis
fără succes
poștă terestră
indispune înclina
inteligent prost
bunăstare neajuns
bunăstare nevoie
extinde reduce
economic inflație
băiat fată
blond negricios
absorbi degaja
cu inutil
dezarmare înarmare
buruiană plantă
multilateral unilateral
involuntar voie
acidifica alcaliniza
lizibil nelizibil
de gramaticală
lipsă valoare
o parte
echivoc limpede
mizerie sanitate
la minți
însoți diviza
inculpat reclamant
declin evoluție
dezetatizare etatizare
avantaj inconvenient
curtoazie impolitețe
concentra demilitariza
nesigur natural
angrena detașa
crede respinge
integru incorect
invalida valida
consonantă vocală
pierdere trecere
tulburat tihnit
literă mică
face destabiliza
disponibilitate indisponibilitate
bineînțeles nenatural
insignifiant semnificativ
alianță activă
sta deplasa
ascuțit mocnit
bisexual heterosexual
trist voios
desface rămâne
înregistra camera
desluși întuneca
construi face
capacitate tembelism
muta opri
nereușită succes
binevoitor dușmănos
afeliu periheliu
părăsi sta
fi refuza
necumpătare înțelepciune
cordialitate proastă
apreciere dezaprobare
purta face
depărta fi
chestiune răspuns
muia întări
clasificare desecretizare
anestezia în
grupa despărți
firesc remarcabil
fericit nefericit
modest modestie
conductor dielectric
hirsut pleșuv
insuficiență suficiență
sătura muri
frământat ușor
agil încetișor
anula ratifica
de refuza
desegrega segrega
credul prevăzător
răcori încălzi
conta nu
deranja orândui
băga reduce
desconsiderație prețuire
păstra pe
desconsiderație stimă
neînfricare spaimă
cu spatele
comporta face
neajuns superioritate
chel păros
incita stăvili
nerecunoștință recunoștință
asincronă operație
necredință siguranță
bătut participa
bărbătească parte
turna tăcere
ireproșabil urât
gândire sinteză
legaliza în
firesc neobișnuit
nonstandard standard
desincronizare sincronicitate
armonie stridență
gratitudine ingratitudine
de încredere
comoditate inconfort
domoli incita
finețe meschinărie
dinapoi dinainte
da naște
cu dezumfla
nerăbdare răbdare
claritate imprecizie
maximaliza minimaliza
cu neentuziast
gentilețe rea-voință
demonetizare monetizare
uni despărți
bogat calic
iad rai
lipsă loialitate
gros subțire
duhovnicească nespecialist
neuniform uniform
ambiguu univoc
claritate neclaritate
exotermic endotermic
aspira purta
permite împiedica
apus răsărit
mări micșora
generos zgârcenie
cu ridicata
automat mână
bărbăție sfială
reclamant învinuit
alinia înclina
dezinfecta contagia
defensiv ofensiv
mică profunzime
lipsă merit
submarin suprafață
reprezenta urmări
blagoslovi blestema
niciodată totdeauna
inteligență prostie
schimbător statornic
deznaționalizare naționalizare
la înșela
trecut viitor
decizie ezitare
lipsă prezență
stabiliza destabiliza
hipotermie hipertermie
actual păcat
monovalent polivalent
același alt
contrabalansa dezechilibra
angaja afară
imprudență prudență
bogat de
frică neînfricare
da potoli
gura pe
întărire șubrezire
necuviință stimă
justificabil neiertat
bogat nevoiaș
răceală reacție
enciclopedist expert
nepopularitate popularitate
îmbrăca dichisi
nereușită realizare
decent licențios
incapacitate iscusință
coborî răsări
prostie pricepere
minimum maxim
de experiență
cusur merit
dezinfecta molipsi
asemănare deosebire
alăpta hrăni
ivi evapora
dinadins întâmplător
depresiune ridicătură
imaterialitate materialitate
explicit implicit
amical vrăjmaș
îndoire îndreptare
aval contra
civilitate grosolănie
bucura pătimi
analfabet alfabetizat
iregularitate regularitate
fleac nevoie
elibera vârî
consonanță diferend
mașina merge
dezintegra încorpora
disocia legatură
fără semnificativ
întovărăși împărți
deschidere îngustime
înmuia întări
neglija seriozitate
bună vreme
dobândi pierde
incredibil verosimil
fecunditate sterilitate
cu vinde
cu zidi
cutezanță sfială
afurisit binecuvântat
audibil inaudibil
impotență virilitate
slobozi încătușa
de font
dezagreabil potrivit
netaxabil taxabil
aranja îmbrăca
decizie nehotărâre
dinăuntru dinafară
21 de
cutezanță temere
depărta conform
neglijent precaut
nesănătos sănătos
plictisi trezi
finitudine infinit
confirmare întâmpinare
afară angaja
mobil neclintit
inteligibil ininteligibil
avariție generos
seca umezi
prostesc înțelepciune
cordialitate toane
măsură necumpătare
da reprezenta
antecedent posterioritate
colorat incolor
mândru modest
expira inhala
iubi urî
cu la
conectat neconectat
fermitate nehotărâre
curaj lașitate
frânare grăbire
încredere îndoială
armonie zgomot
prăbuși reuși
mulțumi nemulțumi
nereușită reușită
înrăutăți îmbunătăți
disprețui flata
lovitură voleu
decis șovăielnic
respect stimă
inconstant statornic
porozitate tărie
naiv sofisticat
arăta ascunde
evita înfrunta
extenua împrospăta
ploios sezon
bolnav sănătos
mijloc sfârșit
urâți înfrumuseța
expanda intra
maximizare minimizare
termina începe
desconsidera linguși
clar ininteligibil
anume involuntar
conserva înceta
sfârșit start
dezaprobare recomandare
auroră apus
fin zgrunțuros
conecta deconecta
atrage izgoni
gust insipid
angrena desprinde
inuman omenos
improbabil probabil
fără jenat
neschimbat schimbător
temeritate teamă
desincronizare sincronie
face reveni
ager confuz
ascuți toci
greu ușor
impecabil imperfect
anestezia reveni
mai supra
endoterm exoterm
conteni perpetua
mut meditativ
fi în
nesocotit înțelept
monarh regină
depresiune naturală
alianță neutralitate
slăbi înlemni
integrare segregare
angajator salariat
economie naturală
negativ personaj
decență indecență
dezorganiza organiza
proastă superioritate
exigență inconștiență
eșec succes
la scula
imprecis limpede
primi respinge
credință necredință
bărbat muiere
începe încheia
anume întâmplător
nesupus obedient
competent nepriceput
capitalism socialism
bucurie mâhnire
răspuns întrebare
nemulțumi încânta
participa rata
amonte în
garanție îngrijora
reglementa deregla
optimist pesimist
dezavua recunoaște
deschidere mărginire
certitudine incertitudine
destins încordat
clar opac
dezechilibru echilibru
bagateliza în
operații secvențiale
internațional zbor
neplăcut potrivit
gras grăsime
ager prost
confirma dezminți
imprecizie precizie
întovărăși separa
drept stâng
necugetat înțelept
fitness nepotrivire
fără grăbit
distruge repara
bărbătească femelă
da flămânzi
cooperare rivalitate
împinge înapoi
implicare neparticipare
înarma demilitariza
direct închis
educat needucat
imobil mobil
atent omite
maică tată
șușoti țipa
netezi înăspri
folositor neajutorat
neafectat înduioșat
legaliza scoate
lealitate loialitate
demoraliza înălța
sprijinitor vrăjmaș
tăcere trăncăni
conteni conserva
nerațional rațional
agale repede
bisexual pederast
aresta elibera
semeție temere
hipotiroidie hipertiroidie
microbian sterilizat
contrazice acord
bunătate rău
acerb moale
final start
debil viguros
etatizare privatizare
gospodar nevastă
maximaliza minimiza
inventiv imaginație
consimți refuza
curajos laș
infirma valida
impardonabil scuzabil
dezminți întări
deschis interval
activitate inactivitate
de maniabil
târziu toi
da îngloba
atașa desprinde
indecis pentru
civil militar
aprobare respingere
drege praf
pământul ridica
migală nepăsare
trage scoate
mijloc început
diferi face
yang yin
spate sta
bunăstare lipsă
impenitent spășit
bucată cu
fără rușinat
naște stinge
ascunde să
paraliza înveseli
dormi fază
deranja ordona
defect valoare
hipertermie hipotermie
urma întrerupe
incoerent logic
arie țară
despovăra împovăra
general în
necinsti onora
impotent tare
memorie volatilă
integral smântânit
neascultare obediență
desluși încâlci
opac transparent
decis nehotărât
nesăbuit socotit
coaliza secționa
internaționalism naționalism
decizie indecizie
literă proporțional
imprecis lămurit
inechitate justețe
maree înaltă
lămuri încurca
de fine
toi timpuriu
realiza scăpa
siguranță îndoială
generozitate zgârcenie
reduce spori
nesatisfăcător satisfăcător
deteriora întrema
deșuruba înșuruba
avea încredere
boală mintală
depersonaliza individualiza
cordialitate proaste
eșec reușită
detesta plăcea
centură cinstit
merit slăbiciune
repede încetinel
bunăstare mizerie
alopatie homeopatie
igienă sanitate
abil incapabil
conformare indisciplină
bălai tuciuriu
de păcat
mărgini sta
nominativ oblic
disjunge o
răceală sensibilitate
semnificativ zadarnic
cheltuială câștig
admite obstrucționa
aparte inseparabil
democrat nedemocratic
parte pe
chibzuit nesăbuit
netulburat tulburat
exclude fi
întovărăși divide
aspira sursă
drept încovoiat
abilitate inabilitate
aproba declina
convex poligon
confirma invalida
binefăcător rău
neștiință notorietate
mareea maree
dezlega prinde
laicitate sfințenie
frică temeritate
ameliora agrava
opri îngădui
rimă rimat
discreditare reputație
avea crede
dura pământul
confirma infirma
intensifica slăbi
fața spatele
cele mai
avânt potoli
în îngustime
neseriozitate seriozitate
dezavantajos favorabil
dezacord pace
aduce subaprecia
omite ține
chibzuit nechibzuit
neonestitate onestitate
eucariot procariot
clar echivoc
stângaci suav
declin dezvoltare
retrograda înainta
calcula integra
inconștient responsabil
dezumflare gonflare
interes nepăsare
incorect integru
concept greșită
coerent incoerent
convingere incredulitate
avansa retrograda
început încheiere
natural nefiresc
distinct imprecis
dificultate ușurință
debut final
experimentat fără
neîndurare îndurare
neexistent prezent
judecată rem
iscusință incapacitate
democratic nedemocratic
nesăbuit înțelept
dezintegra integra
posteriori priori
cusur valoare
descotorosi necesita
goni zăbovi
ager binișor
urma înceta
curăța murdări
întredeschis închis
dezavantajos prielnic
de toamnă
angajare neparticipare
existență nonexistență
schimba rămâne
desface prinde
creștere descreștere
aranja zăpăci
micime mărime
cinsti desconsidera
desegregare segregare
atent voie
egalitarist elitist
nepretențios ostentativ
nefericit voios
fine timp
anorganic organic
homosexual heterosexual
disensiune pace
plecare încheiere
articulat nearticulat
necesar nenecesar
drumul opri
înzdrăveni înrăutăți
fără imaginativ
expira întoarce
brunet bălai
nenorocire noroc
ține gura
exagera minimaliza
raportare ruptură
competent nepregătit
binișor repede
încheia începe
aspru neted
probleme tihnit
inexactitate scrupulozitate
cuminte nebunesc
merit neajuns
calitate superioritate
cumpăni dezechilibra
imixtiune neintervenție
de pierdere
ascuțime bont
ager alene
intra întinde
de verosimil
asocia împărți
de delicatețe
drege distruge
deasupra jos
mic înalt
bălai brunet
desface încheia
altă o
dezarmare întrunire
infirma ratifica
desface lega
aspri netezi
intenționat știință
fantezist simplu
frivolitate solemnitate
cădea lua
decădere mărire
bani ieftini
rușine rușinat
despovăra îngreuna
majorat minoritate
slăbi în
porozitate soliditate
capăt porni
corobora infirma
beznă ști
bune impolitețe
retrage înainta
asfințit răsărit
egal inegal
convergență serie
flexibil neclintit
endotermic exotermic
aprinde întrerupe
seama uita
deschide încuia
căință impenitent
familiar nefiresc
focaliza pierde
distracție preocupare
naștere spontan
tinerime vârstnic
continuu curent
sciziune unificare
diferență similitudine
binișor iute
întâmplător înadins
neatenție observație
expira trage
dezvoltare decădere
desface îmbina
pleca opri
indiferență sensibilitate
cooperație concurență
curat murdar
subestima supraaprecia
aproba părere
de sărman
menține vărsa
nădejde speranță
hipersomnie insomnie
incoruptibil neonest
disproporționat proporțional
aspru fin
echilibru instabilitate
ager încâlcit
amator profesionist
degenerare evoluție
degaja obtura
prosperitate supărare
femelă mascul
minim maximum
insensibilitate sensibilitate
moarte venial
adormi scula
de sănătate
elegant neelegant
crește împuțina
coerență incoerență
recunoaștere respingere
inconfort liniște
deschide sfârși
animal mort
nesocoti trata
ascuțit înăbușit
deschidere reținere
neregulat regulat
îndepărta linie
destoinicie nepricepere
corespunzător neadecvat
anovulație ovulație
propune suprima
extrasezon sezon
da implica
necuviincios ornamental
ascultare indisciplină
ridicata vinde
inteligibil neinteligibil
calma entuziasma
heterosexual invertit
negativism pozitivism
dezechilibra precumpăni
jenat nerușinare
același diferit
accesibil inaccesibil
exogamie endogamie
mai încet
uita ști
destoinicie incapacitate
grațios neîndemânatic
demoralizant vesel
corectitudine inexactitate
libertate liber
sânge zbucium
înrola vatră
achita condamna
demoralizator voios
angaja separa
opțiune vânzare
băga înceta
slăbi întări
termometru umed
inadecvare potrivire
superioritate slabă
accelera decelera
deșira înfășura
asemănător diferit
credibilitate neverosimilitate
chibzuială nechibzuință
implicită put
prelungire regulamentar
cu tihnit
întins ședea
umed uscat
îmbrăca împodobi
dop desfunda
neajuns valoare
bunăvoie voie
tăcere turna
asocia despărți
maxim punct
femelă parte
la mobiliza
accidental anume
netemperat temperat
dezvolta scurta
mitomanie sinceritate
cucernicie necredință
diferi însemna
specific universalitate
mare îngustime
conform devia
memorie nevolatilă
bărbăție frică
domol iute
conveniență inconveniență
neatenție spirit
grațios stângaci
colecta răspândi
ceda revendica
en vânzare
evident obscuritate
general special
drept unghi
minimiza maximaliza
asemănare neasemănare
înălța coborî
de proporțional
arunca implica
da include
nesigur sigur
claritate obscuritate
maximizare minimalizare
cromatic neutral
striga șopti
dușman sprijinitor
loc merge
firav robust
de pe
impolitețe maniere
dizloca înfige
moderație moderat
păstra întrerupe
omite trata
crede nu
dezvoltare declin
minimă maxim
despărți intersecta
decor necuviincios
părăsi păstra
lumina întuneca
imprudent prudent
suav stângaci
nepricepere potențial
celebritate infamie
cădea reuși
armonie disonanță
cu zadarnic
neînfricare timiditate
subaprecia supraestima
curat infectat
adult tânăr
grațios neajutorat
lealitate lipsă
alternativ curent
agil alene
ingrat recunoscător
câștiga slăbi
diateză pasivă
bucată vinde
cuviință intruziune
imprudență precauție
aduce minimaliza
netrebnicie valoare
deșuruba strânge
stimula stăvili
destindere formalism
reunit separat
competent incompetent
bot spate
cosit netăiat
nimerit nepotrivit
incita tempera
excomunica împărtăși
descurajant vesel
avantaja dezavantaja
deosebire potrivire
grijă voie
in personam
ajuta defavoriza
păcat venial
de prețuire
permite preveni
afurisi binecuvântare
distractiv nesuferit
continua conteni
de fără
iresponsabilitate responsabilitate
neputință trecere
bine descurajator
clasicism romantism
depersonaliza personaliza
convocare demobilizare
descurca încâlci
forte slab
beznă cunoaște
imparțialitate părtinire
nepărtinitor parțial
economică inflație
deflație inflație
neascultător supus
neajutorat suav
matur tânăr
atent nesocoti
bine demoralizator
insolvență solvabilitate
de extrasezon
conștiință iresponsabilitate
temere îndrăzneală
aboli înființa
artificial limbaj
mașină spăla
neliniște sânge
atașa desface
arăta coborî
important neînsemnat
slobozi înlănțui
corpusculară teoria
incert sigur
absorbi emana
alianță nealiniere
zori încetini
față nespecialist
debil energic
coerent ilogic
nerăbdător pacient
negativă sarcină
bărbăție impotență
debarca îmbarca
cu pe
incita potoli
dărâma zidi
sălbatic îmblânzit
separare unitate
clarifica întuneca
ajunge pleca
accepta împiedica
capital păcat
artificial natural
tensiona relaxa
distracție grijă
centrifugă forță
aranja încurca
gravidă neînsărcinată
deces naștere
atracție de
imposibil posibil
înveseli plânge
respectabil rău
dezacord înțelegere
impur pur
anestezie reveni
arme demobiliza
prosopul implica
acromatism culoare
mâhni bucura
rapid întâi
hipotiroidie hipertiroidism
nepoată nepot
mașina pe
destupa înfunda
cosit necosit
aprobare stigmatizare
improbabilitate probabilitate
disocia legătura
domoli înflăcăra
dezmembra uni
maxim minimum
participa pierde
indispensabil nenecesar
convex concav
literă majuscul
normal remarcabil
insolvabilitate solvabilitate
deosebire similitudine
combina despărți
decent indecent
corect sub
negativă încărcătură
domoli irita
final mijloc
nesocoti peria
farmec urâțenie
frecvență înaltă
primăvară toamnă
lin repede
crește reducere
hipertonie hipotonie
anula confirma
orienta dezorienta
indecență manieră
desface fixa
femeie iubit
disprețui respecta
drumul ține
angajare neimplicare
nemișcat în
mare minor
neputință posibilitate
răspuns răceală
da domoli
deconecta încorda
asigurat nesigur
bobină stator
bucura suferi
nerestricționat restricționat
imperceptibil vizibil
dezvoltare regres
ignobil nobil
21 solstițiu
dispensa învinui
amețit treaz
ascunde la
pune începe
cu nepăsător
drept zimțuit
consolida înmuia
deranj rânduială
major minor
matur persoană
desconsidera prețui
impermanență permanență
comasare dispersie
conflict înțelegere
întovărăși scinda
perfidie veracitate
amator sportiv
compresiune decompresiune
trezi înșela
de stagnare
lua ura
face pământul
de eșuat
potrivnic prieten
cu modestie
puternic ușor
merit meteahnă
fățărnicie veracitate
însoți separa
echinocțiu toamnă
timid îndrăzneț
atracție urâțenie
relaționare ruptură
dragoste ură
îndrepta agrava
atonie muscular
cel cea
folos inutil
grăsan sfrijit
descurajare încurajare
desface înveli
dezactiva permite
mistifica minimaliza
înrăutăți îndrepta
demisiona prelua
flămânzi hrăni
est vest
debil puternic
desface îndoi
braț confluent
aversiune plăcere
părăsi rămâne
amorțit energic
dovadă probă
deasupra mai
extern intern
catod negativ
echitabil inechitabil
eficace ineficace
limbă limbaj
rușinat rușine
lărgi strânge
formă nesănătos
binevenit inoportun
rata ciocni
includere înlăturare
minoritate majoritate
detașa lipi
hipoglicemie hiperglicemie
rapid încet
orienta deruta
imobil în
hotărât șovăielnic
disconfort liniște
creștere regres
prolix succint
sărăci înavuți
compresie decomprimare
crește descrește
bine descurajant
punctualitate prematur
prezent trecut
culoar întâi
ilegitimitate legitimitate
câmpie munte
îngloba înlătura
mijloc încheiere
minimaliza mistifica
insatisfacție satisfacție
a pierderea
devaloriza urca
absorbi emite
echivoc neechivoc
nesistematic sistematic
demoraliza îmboldi
conștient inconștient
curaj spaimă
arăta evapora
rapid încetișor
neted zgrunțuros
imuabilitate mutabilitate
cuprinde îndepărta
întins în
dezlega lanț
invalida proba
garanție neliniști
sfârșit început
din potrivit
perpendicular înclinat
prezent pierde
concav poligon
desface înfășura
incorect incoruptibil
abține obișnui
destinde încorda
gol merge
conține exclude
constructiv nimicitor
minimaliza prim-plan
nepretențios pretențios
descreștere ridicare
asimilație dezasimilație
atenție distracție
bucată ridicata
triumf înfrângere
anestezia fire
grăsan pricăjit
extrovertire introversiune
da stăvili
public particular
răspândi strânge
dezirabil nedorit
prelungire timp
cel mai
control năvalnic
adecvat nepotrivit
pronație supinație
angrena desface
inițiat neinițiat
nepatriotic patriotic
împărți înmulți
fire face
concept concepție
fortissimo pianissimo
lua trece
frăgezime perimare
aprecia desconsidera
asprime catifelare
amănunți tăia
minimaliza în
limpezime obscuritate
curat centură
bucura văita
comprimare decompresie
neasemănare similitudine
declin mărire
moderație necumpătare
dejuga înjuga
cunoaște în
principal secundar
la îngustime
accidental înadins
imprecis precis
adult juvenilă
imaginea încețoșa
agil prost
inferior ridicat
liniște răsunet
descurajator dispus
vioi încetinel
pleca răsări
forte piano
fără moderat
conduce dezorienta
nerăbdător răbdare
da împinge
copt verde
interzice permite
neprevedere precauție
chibzuință nechibzuință
combinat simplu
da lua
incredibil plauzibil
sus încet
la ridicata
albeață negreală
pierde realiza
îngust în
ambiguu inechivoc
ceremonios neceremonios
fiică fiu
nepoliticos politicos
anestezie în
gura turna
plat spumos
coborî urca
neserios încredere
disocia stabili
binevoitor ostil
debarcare îmbarcare
rege suverană
exact imprecis
suprima stabili
perdant învingător
capacitate placiditate
stoarce împrospăta
descreștere înălțare
bucurie regret
efectiv ineficient
năzui sâmbetele
grai meditativ
parte scăpa
loc deplasa
patologică sănătate
zgomotos încet
mijloc sărac
atractiv neatrăgător
ciudat familiar
integral parțial
intermitent neîntrerupt
frânt nespart
mincinos om
de nepăsare
mat strălucitor
lung scurt
liniștit zgomotos
corect greșit
scula adormi
dezonoare vază
apreciere depreciere
câștiga scăpa
decădere evoluție
înzdrăveni deteriora
fără gras
grăbi întârzia
albeață negreață
agresiv defensiv
echivoc lămurit
iarnă vară
ușor vioi
prezent viitor
cu part-time
alcalinitate aciditate
grijă neatenție
asocia scinda
masca demasca
artificial limbă
pune scoate
teamă temeritate
cu seriozitate
caritate răutate
deschide bloca
sărăcie îmbelșugare
ascunde iveală
cuvioșie impietate
înrăutăți ameliora
doamnă nobil
neatenție preocupare
teamă îndrăzneală
nevoie prosperitate
autentic fals
nordic sudic
monoteism politeism
fin încurcat
dispensa învinovăți
face nemulțumi
claritate transluciditate
regla încețoșa
gheenă rai
creștere declin
de fi
personaj pozitiv
da încadra
incorect leal
liber lipsit
desprinde lipi
baza încredere
depune extrage
fi omite
afară spre
declina de
mincinos normal
hipersomnie nesomn
fi rata
irelevant relevant
desfunda pune
expira reveni
ager încetinel
hotărât indecis
evident neclar
neromantic romantic
slăbire întărire
progresa retrograda
naturală piață
bine împovăra
demoralizator dispus
afară încadra
comun nume
opri permite
gazdă parazit
internat pacient
amărî bucura
luciditate țicneală
militariza demilitariza
incomensurabil măsurabil
dezgusta plăcea
greșeală moralitate
plasa înceta
avantaj pedeapsă
neliniște rece
cunoștință necunoscut
da întări
avort a
literă mare
centură corect
nesusceptibil susceptibil
deznoda încheia
coaliție neutralitate
incorect îngrijit
măguli nesocoti
minimalizare maximizare
caracter punctualitate
înregimenta lăsa
secvențiale simultane
inofensiv jignitor
atracție respingere
nepricepere pricepere
pretinde pierde
impotență influență
capacitate impasibilitate
niciodată întotdeauna
cald distant
legitimitate rău
aduce bagateliza
îndepărta conform
perpetua părăsi
merge retrage
conservator liberal
fixitate mutabilitate
impotență putere
aplica refuza
justificabil nejustificabil
de voie
fi sta
lățire îngustare
cumpăra vinde
amănuntul gros
centripetă centrifugă
manual mașină
jos mașina
falsitate veridicitate
întări înmuia
scump sărăcăcios
apropia pleca
bogăție sărăcie
persoană stoic
delecta nemulțumi
cooperare concurență
bătut implica
compus simplu
imprima șterge
intenționat întâmplător
lipsă prosperitate
intranzitiv tranzitiv
cromatic neutru
slabă superioritate
neîmbrăcat îmbrăcat
dispus deprimant
normă part-time
neinformat pregătit
caracter lașitate
întovărăși secționa
concepție noțiune
face fire
activă coaliție
deviere normalitate
deranj rost
copt crud
stimula stăpâni
dinainte tăcere
câștigător nenorocos
chemat voluntar
frâna iuți
amplifica minimaliza
naștere pieire
admite tăgădui
cu insipid
aprovizionare cerere
plural singular
absolvi învinovăți
aprecia deprecia
arar frecvent
integral lapte
de imprudență
lățire strâmtare
circuit deschis
descrește fi
exploziv puternic
insensibilitate răspuns
eficacitate ineficiență
neajuns prosperitate
maturitate verde
siguranță scepticism
ține trăncăni
agitat ușor
nepăsare scrupulozitate
demobilizare mobilizare
pluti îneca
excludere includere
calm neliniște
dezamorsa pune
acut cronic
creștere decădere
reactor termal
calm neastâmpăr
descreștere urcare
inuman uman
gol umplere
o în
nespecific specific
împodobi haine
ridica sta
deflație economic
intermitent neîncetat
credință desperare
rotor stator
biped patruped
lua păstra
angajator slujbaș
rai tartar
agrava înzdrăveni
construi una
exploziv ușor
deplinătate loc
smerenie vanitate
schimba menține
dori pică
exoterm endotermic
dreaptă stânga
direct indirect
permanent temporar
lat strâmt
creștere scădere
gravitate neseriozitate
dezinfectat septic
insensibil senzitiv
involuntar special
cea cel
cinstire necuviință
dezvoltare degenerare
arar des
