ruinat scăpătat
citeț descifrabil
neinteresant plictisitor
vânjos voinic
marcat vizibil
anost monoton
închis înnorat
inconștient instinctiv
neînvățat prost
nepătat neștirbit
justificat legitim
negativ neconstructiv
afară concediat
deplorabil jalnic
duplicitar fariseic
de mărimea
degradat uzat
limpede precis
drept lins
ezitant nehotărât
emoționat impresionat
alinător liniștitor
irațional nerațional
slinos întinat
dezastruos devastator
maiestuos măreț
neclintit nezdruncinat
fin pătrunzător
bahic dionisiac
luxos somptuos
distrugător pustiitor
bolnav mintal
echivoc neclar
meticulos tipicar
casant sfărâmicios
curat străveziu
impetuos nestăpânit
budist budic
eronat greșit
implorator rugător
abrupt prăpăstios
fără grăsime
lat mare
senzitiv sensibil
fără inimă
înghețat înlemnit
absorbit pe
infertil nefertil
necăsătorit singur
anost plicticos
brav curajos
natural normal
salutar sănătos
devotat neclintit
cazon marțial
falnic semeț
superficial trivial
lunguieț prelung
firav fragil
voit înadins
egoist egocentrist
explicit lămurit
insolvabil insolvent
mândru megaloman
belicos bătăios
diagonal plecat
dictat hotărât
jenant penibil
folosibil operațional
fixat rigid
deziluzionant dezamăgitor
defăimător denigrator
divers felurit
rămuros ramificat
nesfârșit nemărginit
obișnuit regulat
prielnic propice
beat îmbătat
răsfirat zbârlit
cardinal principal
congelat înghețat
dureri fără
potrivnic vrăjmaș
astfel așa
lins neted
hazardat imprudent
mirositor rău
de tras
abil subtil
intenționat voit
lejer neîngrijit
dizgrațios dezgustător
curat limpede
făcut voinic
prevăzător prudent
amărât prăpădit
neîndoielnic neîndoios
neprofitabil nerentabil
negativ nefavorabil
preocupat pe
nefavorabil potrivnic
combatant militant
exclusiv opus
gingaș plăpând
acoperire fără
sideral stelar
cumpănit chibzuit
izolat singur
nesfârșit necontenit
adormit inert
regulamentar reglementar
afectat pretențios
trădător vânzător
invizibil nevăzut
preventiv profilactic
obișnuit ordinar
convenabil mulțumitor
solid substanțial
de negru
contagios molipsitor
sfârșit trudit
păstoresc pastoral
cordial prietenesc
agitat febril
netrebnic nelegiuit
vag întunecos
sibilic sibilin
inactiv pasiv
demodat desuet
ofilit îngălbenit
confuz încâlcit
fără viziune
costeliv prizărit
pe picioarele
aspru acerb
nespălat vulgar
secătuit sleit
dezgustător execrabil
de temut
fix rigid
de tragere
drept just
hipertrofiat mărit
de senin
meschin zgârcit
modă punct
fatal mortal
sângeros violent
contradictoriu exclusiv
josnic sordid
ban buzunar
magistral superb
simultan sincron
intens profund
crescut prost
credincios smerit
cufundat captivat
necugetat nesocotit
aplecat încovoiat
neînvățat neștiutor
reflectant reflectorizant
disponibil deschis
duzină de
infatuat închipuit
defavorabil nefavorabil
infam josnic
pufos pilos
curios straniu
energizant tonic
leneș trândav
directiv direcțional
odorifer odorant
epicurian voluptuos
înconjurător împrejmuitor
nepriceput necalificat
cazon militar
albit încărunțit
desfășurat desfăcut
disruptiv tumultuos
distonant nearmonios
necunoscut obscur
gol-pușcă nud
bază elementar
rapid trepidant
abject mizerabil
fanfaron lăudăros
drăguț decent
legal legitim
adormit dispărut
sănătos salutar
necontestat netăgăduit
observabil perceptibil
bogat fecund
intolerabil inadmisibil
pe secret
pe în
pipernicit pitic
disponibil neocupat
șase și
temeinic întemeiat
hipnotizat vrăjit
mânjit murdar
nefiresc nenatural
pene umflat
concertat combinat
augur bun
mișcat înduioșat
problematic îngrijorat
distins elegant
autoritar despotic
lipsit privat
pios smerit
despuiat gol
pronunțat vizibil
mincinos înșelător
de încrezut
fixat stabilizat
neloial nesportiv
dezonorant degradant
bine intenționat
fertil fecund
lamentabil mizerabil
curent regulat
restant întârziat
deșert van
insolent ireverențios
just temeinic
impudic necuviincios
anomic dezorientat
castrat efeminat
supus smerit
barbar violent
crescut matur
de îngrozitor
modest simplu
ireverențios obraznic
tare uscat
doișpe doisprezece
anex accesoriu
apos îndoit
retras singur
glumeț hazliu
necompetent nepregătit
primitiv sălbatic
infamant rușinos
alienat dement
de rău
căutat nefiresc
dârz neclintit
gândit socotit
nebun înamorat
anatemizat blestemat
renumit vestit
debil slab
potrivit temperat
corupt decăzut
de secret
sever spartan
impetuos năvalnic
solid întemeiat
umflat înfoiat
josnic mârșav
decorativ ornant
supărător sâcâitor
deosebit excepțional
reticulat reticular
molâu încet
resurgent renăscut
circular rotativ
netot neghiob
renumit reputat
smintit țicnit
neștiutor neînvățat
neșcolit necalificat
singuratic tainic
de tact
necăjit supărat
proaspăt tăiat
stors zdrobit
probleme tulburat
frecvent obișnuit
rezumativ sumar
embrionic embrionar
neîntrerupt veșnic
perfid șmecher
grandios somptuos
buimăcit buimac
nenorocit sărman
dăunător periculos
îngânat șoptit
fercheș ferchezuit
nesofisticat necomplicat
prejudiciabil păgubitor
nemișcat static
josnic mizerabil
consistent ordonat
netot prostănac
distins deosebit
impus prescris
hrănitor nutritiv
deosebit măreț
aberant deviant
integru leal
imprevizibil impredictibil
încâlcit întortocheat
prizărit uscățiv
profetic sibilinic
eficace efectiv
declamator pompos
diametral opus
drag iubit
expansiv exuberant
buimăcitor uluitor
obișnuit standard
sânge în
de propice
de mâna
modă pus
crud sălbatic
avar zgârcit
extraordinar excepțional
amețit zăpăcit
dogoritor fierbinte
dezinteresat superficial
cuvios credincios
folositor util
predominant preponderent
jigărit uscățiv
buretos spongios
dezgustător scârbos
melodios melodic
incomod nepotrivit
normal natural
fărâmicios friabil
crud cumplit
fudul sine
duplicitar prefăcut
liliputan pitic
complet integral
unduios unduitor
părere rău
echilibrat egal
comun colocvial
puternic vânjos
advers dimpotrivă
aspru zgrunțuros
bun plăcut
înfumurat țanțoș
aprig violent
principal prim
dezlănțuit debordant
corespunzător proporțional
amenințător periculos
distant glacial
aprig feroce
ingenios inventiv
intelectual rațional
constrictiv continuu
cu în
crestat dințat
incompetent nepriceput
tâmpit zăpăcit
hotărât motivat
corect ireproșabil
concentrat tare
mărunt niscaiva
de infatuat
gras uleios
insolent nerespectuos
adus cocârjat
prăpădit slăbănog
amețit aiurit
chiorâș cruciș
incorect necorect
expus vulnerabil
meticulos pedant
îngropat înmormântat
banal prozaic
încărcat îngreunat
murdar soios
inadecvat necorespunzător
groggy zăpăcit
abrupt pieptiș
necesar trebuincios
delirant nestăpânit
adorat idolatrizat
constant invariabil
nesigur șovăielnic
chibzuit socotit
desperat deznădăjduit
uscat uscățiv
ideal ideatic
despuiat gol-pușcă
comun obștesc
impulsiv violent
acromatic neutru
de știutor
abătut demoralizat
pipernicit uscățiv
exuberant expansiv
epuizat secat
corupt destrăbălat
laconic scurt
demoralizator deprimant
clar perceptiv
excesiv neobișnuit
devastator dezastruos
amplificat potențat
dibaci precis
neaerisit îmbâcsit
incoruptibil integru
menit sortit
schimbător variabil
cinstit credincios
concurențial competitiv
fudul plin
agil repede
inconștient reflex
general mondial
secat stors
perpetuu veșnic
putred șubred
crescut țăran
fratern frățesc
mișcător înduioșător
fudul trufaș
cumpătat econom
trecător temporar
împietrit înmărmurit
cruciș pieziș
excepțional ideal
exces în
glacial rece
vast întins
înlemnit împietrit
suplimentar subsidiar
musculos puternic
atrăgător tentant
emoțional emotiv
de mediocru
delicat gingaș
indecis nedecis
discutabil îndoielnic
coercitiv constrângător
inechivoc neechivoc
simplu ușor
veninos virulent
o unu
lipsit robit
groaznic grozav
frânt zdrobit
și șaizeci
rebel răzvrătit
picioarele practic
famelic jigărit
perfid viclean
neîntrecut neasemănat
incompetent nepregătit
bine definit
nehotărât nesigur
celebru ilustru
de îngâmfat
comod confortabil
căpos încăpățânat
păr tras
afectuos tandru
distrugător devastator
albit cărunt
soporific somnifer
dinamic energic
ferit singuratic
drept întins
limpede pur
nepregătit necalificat
agreabil confortabil
nesoluționat nerezolvat
meritoriu merituos
chirurgical operatoriu
senzorial senzitiv
cu duhul
elastic mlădios
minunat uimit
umflat în
ezitant indecis
efectiv eficace
anost neinteresant
grețos scârbos
nelegitim natural
admisibil permisibil
bogat îmbelșugat
consistent vârtos
76 și
emoționant impresionant
exuberant îndrăzneț
implacabil persistent
imbecil retardat
destins relaxat
ignorant neavizat
larg întins
neîntrebuințat nefolosit
cosmice de
etern neîntrerupt
curent la
discreditat denigrat
absolut complet
cerebral mintal
minunat splendid
cu practic
ferchezuit fercheș
ascendent urcător
de fată
prelungit îndelung
fastuos strălucit
încrezut înfumurat
incoerent ilogic
injust nedrept
tăinuit tainic
cinzeci patru
natural nelegitim
absurd ilogic
neuronal neuronic
cinstit devotat
puternic viguros
nociv vătămător
apucător avid
palavragiu vorbăreț
judecătoresc judiciar
fudul țanțoș
jalnic trist
extenuat secat
destrăbălat vicios
nesportiv neloial
roditor rodnic
de esențial
posac sumbru
plin semnificativ
doveditor probatoriu
de ochi
neprevăzut neanticipat
vorbă-lungă vorbăreț
tolănit întins
depravat imoral
fierbinte înfocat
perfect superb
amenințător grav
agasant sâcâitor
nesubordonat nesupus
germinator germinativ
bine făcut
uimitor uluitor
retras solitar
anihilat exterminat
neigienic nesănătos
nefiresc pretențios
eșuat ratat
predictibil previzibil
instabil nestabil
adormit țeapăn
demoralizant descurajator
neasemănat neîntrecut
împietrit înțepenit
contrabandă negru
nespălat plebeu
epuizat trudit
debordant dezlănțuit
destul îndeajuns
invertit pederast
nemernic ticălos
bățos drept
de invidiat
cabalistic sibilic
special singular
dezastruos pustiitor
ardent fervent
bombastic declamator
grosolan țăran
cucerit extatic
imprecis neguros
excitabil focos
neconstructiv nefavorabil
injust inechitabil
impozant maiestuos
de remușcări
neșlefuit nefinisat
decrepit debil
superb splendid
sortit ursit
culise spate
adevărat autentic
jugănit sterilizat
disciform discoid
urât înnegurat
adânc intens
enigmatic misterios
preponderent prevalent
diafan transparent
deosebit remarcabil
inocent ingenuu
turbulent zgomotos
ilogic stupid
neîndeplinit nerealizat
nepotrivit nefavorabil
consternat uimit
inoportun nepotrivit
căscat zgâit
uluit uimit
indezirabil nedorit
neînțeles neexplicabil
fin subtil
neîndoios neîndoielnic
ireverențios neobrăzat
demolat dărâmat
temerar îndrăzneț
negru sumbru
mândru țanțoș
fin penetrant
amețit tâmpit
cheie fundamental
legat voinic
idilic păstoresc
bun mai
dezonorabil neonorabil
nelocuit necolonizat
desăvârșit impecabil
afectuos cald
nefolosit nou
de duzină
indispensabil necesar
plecat povârnit
bogat exuberant
excepțional magistral
admirabil deosebit
banal monoton
de unui
micuț pitic
cheltuitor pungă
expirat vetust
incapabil neputincios
cristalin limpede
furtunos violent
nătărău neghiob
curajos neînfricat
răsfirat înfoiat
ireverențios insolent
istovit secat
dispus pregătit
global planetar
adânc pătrunzător
sleit sfârșit
căință de
alungit lungăreț
alb blanc
grav teribil
detectabil perceptibil
prevalent preponderent
grosolan grosier
extatic răpit
clar curat
cucernic credincios
ilicit ilegal
consistent miez
decăzut nerușinat
de oțel
intenționat înadins
prizonier prins
menținut reținut
militar marțial
incorect inexact
consacrat recunoscut
mândru măreț
atins afectat
sincronic simultan
furtunos zbuciumat
groggy năuc
vioi însuflețit
descurajant demoralizator
afabil cordial
brutal sângeros
cocârjat încovoiat
fluid instabil
extenuat istovit
ciudat neobișnuit
mare reputat
voluntar încăpățânat
criptic enigmatic
are clasă
singuratic solitar
dezonorant umilitor
federativ federal
plictisitor searbăd
dumnezeiesc divin
dărâmat demolat
împovărat îngreuiat
furtunos impetuos
vânjos zdravăn
dezolant sumbru
ascultător supus
emaciat scheletic
alb imaculat
hazliu vesel
asemănător analog
muced mucegăit
drastic sever
nerușinat stricat
lung pe
opus potrivnic
aiurit amețit
depravat pervertit
mintal rațional
străveziu senin
agitat neliniștit
adecvat nimerit
afectuos delicat
nevătămat teafăr
consistent substanțial
năbădăios nărăvaș
furtunos înflăcărat
ignorant incult
maniac nebunesc
gastric stomacal
sârguitor silitor
obscen trivial
electrizant electric
banal plictisitor
fără necurmat
clasic frecvent
aparent amăgitor
accentuat tonic
frapant impresionant
oprit proscris
prietenos tovărășesc
cumpănit gândit
înțolit înveșmântat
cârpit peticit
desăvârșit ireproșabil
scârbit săturat
de facto
domnitor stăpânitor
intens viu
nesăbuit nebunesc
opalin opalescent
de vârf
curtenitor galant
megaloman țanțoș
ace la
libertate lipsit
demoralizator descurajator
uluitor uimitor
superfluu zadarnic
inechitabil nedrept
inexistent neexistent
indecent impudic
înfăptuit îndeplinit
trândav trântor
ademenitor ispititor
aprig vehement
rece sânge
trecut îngălbenit
sfârșit secătuit
implicit necontestat
nerușinat pornografic
dator obligat
neglijent superficial
deformat denaturat
neprihănit pur
îngrozitor înfricoșător
63 șaizeci
decedat dispărut
acceptabil satisfăcător
pene în
nimicitor ucigător
belit bulbucat
maritim nautic
indulgent tolerant
bălțat tărcat
casabil casant
prostănac tont
afectat retoric
exact precis
ademenitor atrăgător
dracului demonic
deformat distorsionat
continuu necontenit
distrugător nimicitor
calomniat defăimat
reflectiv reflexiv
castrat sterilizat
ager iute
dispus vesel
consternat stupefiat
cumpătat chibzuit
neînsemnat neimportant
nepregătit nechemat
calmant liniștitor
comercial negustoresc
solitar singuratic
antropoid antropomorf
apt stare
prizărit slăbănog
perimat vechi
comun simplu
dezgustat săturat
nepărtinitor obiectiv
nenorocit trist
cotit întortocheat
descurajat demoralizat
reținut rezervat
agil vioi
curtenitor cavaleresc
briliant superb
admirabil remarcabil
descurajant descurajator
crâncen feroce
divinizat idolatrizat
nepermis proscris
gravid însărcinat
clar citeț
redus retardat
bastard nelegitim
voinic viguros
gelos invidios
ales distins
temporar trecător
cert neîndoios
jigărit scheletic
fantezist straniu
epuizat sfârșit
fragmentat fracționat
demonstrat stabilit
furios feroce
mondial universal
prețuit stimat
animalic bestial
imobil neclintit
înamorat îndrăgostit
câinesc câinos
voios vesel
bine voios
bun strașnic
neprihănit virgin
clar transparent
propriu personal
avântat entuziast
legat robust
extraordinar perfect
advers potrivnic
neonest necorect
infam ticălos
plănuit planificat
încurcat încâlcit
lacom nesătul
rușinos sfios
cuvios pios
megaloman trufaș
alcalin bazic
bizar straniu
cu capul
năvalnic nestăpânit
aranjat organizat
ascultător cuminte
compact plin
josnic murdar
mirositor odorifer
ieșit proeminent
neîntrerupt necontenit
șmecher șiret
cinstit corect
preponderent precumpănitor
neinteresant neatrăgător
impasibil indiferent
dezordonat haotic
aplecat oblic
desăvârșit perfect
concret fizic
cârlionțat creț
necosit netăiat
analog asemănător
fizic material
prețios rar
decent simpatic
fără zadarnic
cosmice proporții
infatuat îngâmfat
plângăreț plângăcios
mărinimos nobil
exuberant măreț
excepțional fabulos
inconfundabil inegalabil
spartan sever
neglijabil neimportant
neîntrerupt permanent
defectuos prost
duplicitar perfid
excepțional prodigios
desperat disperat
ritmat ritmic
ademenitor tentant
individual separat
decăzut stricat
necorect neonest
cleios vâscos
avid rapace
înspăimântat îngrozit
prezicător profetic
de zilnic
devastat pustiit
exagerat exorbitant
esențial principal
nesigur îndoielnic
scabros vulgar
prostesc stupid
grosolan vulgar
nimerit potrivit
neîndoielnic sigur
miez mijloc
migălos minuțios
iute irascibil
căscat deschis
buimac derutat
împovărat încărcat
toată în
brusc neașteptat
descurajator descurajant
neriguros nerestrictiv
culise de
spre sud
depreciat devalorizat
apărător protector
boltit curbat
cucerit răpit
mortal ucigaș
necugetat prostesc
epuizat extenuat
neascultător nesupus
fierbinte încins
canicular fierbinte
extravertit extrovertit
colosal enorm
nestăpânit vehement
depravat decăzut
complet deplin
astral sideral
apucător rapace
bătut buchisit
frustrat ratat
absurd stupid
ridicol stupid
brusc neprevăzut
propice prielnic
furtunos impulsiv
mirositor odorant
fudul pene
rupt secătuit
armonios proporționat
neghiob netot
șiret șmecher
contemporan recent
exact literal
cardinal cheie
deosebit excelent
mândru încrezut
alcoolic băutor
discoidal disciform
abrupt subit
amiabil cordial
nesănătos neigienic
slab subțiat
emasculat sterilizat
aforistic sentențios
juvenil pueril
spate secret
excentric neobișnuit
famelic uscat
curios ciudat
fercheș spilcuit
ager isteț
fatal tragic
necizelat neprelucrat
standard stereotip
întărit împietrit
criticabil condamnabil
al patrulea
practic pe
neobrăzat necuviincios
paradoxal straniu
implicit inerent
dislocat scrântit
pirpiriu sfrijit
de înțeles
oropsit urgisit
oblic povârnit
famelic pipernicit
aprig înverșunat
neprevăzut subit
actual contemporan
fără tragere
obscur întunecat
iute repede
amărât necăjit
rece vechi
pur virginal
necultivat simplu
de în
iterativ repetitiv
înmărmurit înlemnit
incompetent necompetent
lucrat mână
nefiresc retoric
ponosit purtat
apostolic papal
minor marginal
desfrânat destrăbălat
htonic htonian
etic moral
energizant întăritor
casant casabil
grețos greu
argilos lutos
important semnificativ
sine țanțoș
considerat prețuit
nesocotit necugetat
ostil potrivnic
nevastă soție
debil slăbit
înspăimântător înfiorător
disciplinat ordonat
indecent scabros
drept neted
sigur stăpânit
dimpotrivă opus
ponosit uzat
cuticular epidermic
retezat tăiat
capul cu
integrat inclus
smerit supus
drăguț încântător
plin sine
secat zdrobit
erotic senzual
nestăpânit înflăcărat
elaborat nefiresc
permanent veșnic
insalubru nesănătos
mizerabil mârșav
abrupt pieziș
amuțit potolit
ascuțit fin
covârșitor copleșitor
nerespectuos necuviincios
obscen vulgar
calomniat ponegrit
mare remarcabil
ispititor îmbietor
impulsiv irascibil
fără țintă
stimulator tonic
epuizat stors
compact netransparent
inflamat tumefiat
cu pietre
inacceptabil inadmisibil
blocat barat
invalid nevalabil
cronic înveterat
execrabil odios
cinstit fidel
îmbelșugat îndestulat
impur necurat
moale molâu
stăpânit sigur
medicinal medicamentos
deprimant descurajator
bun sănătos
dominant preponderent
nechibzuit necugetat
cerebral rațional
devastator destructiv
cerebral intelectual
tare violent
cristalizat stabilizat
umanitar umanist
nerealizabil nefezabil
divizat scindat
neobișnuit straniu
simultan sincronic
extenuant obositor
alungit prelung
neobișnuit năstrușnic
rușinos reprobabil
nedeviat neclintit
bani de
incisiv penetrant
solid voinic
general obștesc
grotesc monstruos
minunat surprins
adevărat veritabil
deplin perfect
congenital nativ
benefic convenabil
clar evident
trecut veșted
picioarele pământ
extenuat zdrobit
inconfundabil incomparabil
incitant provocator
secătuit stors
dur neprietenos
debordant năvalnic
exprimat verbalizat
degradat ponosit
infatuat țanțoș
htonian htonic
copios mare
neastâmpărat obraznic
fracționar parțial
lungăreț prelung
nestăpânit zgomotos
ascuțit adânc
inacceptabil nepermis
competent capabil
năvalnic violent
radical revoluționar
susținător susținere
defectuos în
detașat neimplicat
răpit încântat
egocentric egocentrist
uscățiv uscat
incompatibil necompatibil
pământ practic
clandestin ilegal
comun public
izolat singuratic
arzător fierbinte
extenuat ostenit
curent obișnuit
precis sigur
corect integru
sfrijit slăbănog
moale molatic
hămesit lihnit
impresionant vibrant
dulceag insipid
rafinat subtil
pipernicit pirpiriu
degradat ros
caloric termal
dezarticulat luxat
flăcări în
departe îndepărtat
medicamentos medicinal
nesupus neascultător
inconfundabil neîntrecut
magnanim mărinimos
unitar uniform
provizoriu temporar
evocativ evocator
reverențios respectuos
fragil gingaș
mocirlos mlăștinos
îngrozit înfricoșat
ascuns retras
scurtat tăiat
apos subțiat
credincios religios
pătrunzător viu
colectiv general
cu pământ
dement smintit
fantezist vizionar
indirect închis
vaporizat volatilizat
fără nemilos
iute picant
nătâng neghiob
concomitent simultan
profetic sibilic
greu gravid
iscusit precis
amuțit domol
corect incoruptibil
acoperit îmbrăcat
bleg inert
nesocotit nechibzuit
nedrept neechitabil
criță mort
pasibil susceptibil
ferit tainic
73 și
deosebit diferit
dosnic retras
ciudat curios
furtunos tumultuos
jucăuș vesel
neindicat nepotrivit
nerușinat vicios
steril sterp
lămurit precis
musculos robust
carte de
pletoric supraabundent
de fundamental
bun cel
fără nesfârșit
imoral pervertit
egal monoton
policolor policrom
dezamăgitor decepționant
nesemnificativ neimportant
jenat stânjenit
cartonat legat
nefertil sterp
cuprinzător mare
închis înnegurat
exuberant luxuriant
noros închis
dosnic ferit
depline drepturi
chibzuit gândit
sleit secătuit
necontenit neîncetat
cuprinzător spațios
ucigător ucigaș
năucit zăpăcit
bătător la
indolent puturos
făcut pus
exasperant înnebunitor
obligat îndatorat
autonom liber
nerod prostănac
folosibil utilizabil
melodios muzical
sârguitor sârguincios
clănțău guraliv
apărător ocrotitor
funest nefericit
calm liniștit
condamnabil scandalos
citeț clar
auxiliar suplimentar
delicat fragil
etern veșnic
rușinos umilitor
friabil fărâmicios
similar înrudit
hrăpăreț rapace
mândru maiestuos
culcat trântit
nesperat neașteptat
încremenit înghețat
prețioase pietre
divizat împărțit
incontrolabil necontrolabil
atent afectuos
improbabil imposibil
agasant supărător
impulsiv iute
nerod neghiob
minor neînsemnat
teribil îngrozitor
bun potrivit
retras tăinuit
întunecat întunecos
prost rău
ascuțit puternic
difuz vag
necruțător neîndurător
substanțial temeinic
apăsător deprimant
aprig impulsiv
asemănător înrudit
consacrat dedicat
diavolesc mefistofelic
nepăsător nesimțitor
denigrat ponegrit
inanimat neînsuflețit
distanțat spațiat
ereditar strămoșesc
arcuit încovoiat
ambiguu neclar
de viață
ilustru vestit
maiestuos semeț
fascinant încântător
ales deosebit
rezistent trainic
deșănțat nerușinat
nerezolvat nesoluționat
istovit secătuit
blamabil culpabil
greșit incorect
nejustificat nemotivat
dezgustător dizgrațios
remușcări rău
tardiv întârziat
doritor dornic
călător migrator
putregăit putrezit
mărunt niscai
diagonal oblic
profitabil productiv
grandios strălucitor
potent puternic
ascuns dosnic
milă nemilos
global mondial
coagulat închegat
brusc subit
bani doi
binevoitor bun
capital mare
riscant speculativ
aseptic sterilizat
minunat stupefiat
parte strâmb
brutal sălbatic
costisitor scump
contrastiv contrastant
îngrozitor înfiorător
fără nou
înfumurat închipuit
nerod netot
ascuțit strident
plat uniform
jefuitor prădalnic
instabil variabil
augur favorabil
mâhnit nefericit
necontestat neîndoielnic
abătut descurajat
decolorat spălăcit
neclar tulbure
lui în
defunct țeapăn
particular propriu
pământului sărac
deliberat voit
cazon ostășesc
moderat potrivit
mușcător înțepător
șubred șubrezit
opalescent opalin
colorat viu
captivat răpit
vânjos viguros
dăunător păgubitor
supranațional transnațional
subsidiar suplimentar
clar precis
indulgent îngăduitor
pur străveziu
murdar nemuncit
sângeros sălbatic
idiot imbecil
amenințător primejdios
chinuitor epuizant
alfabetizat știutor
nerod tont
pirpiriu răpciugos
grețos puturos
viclean șmecher
care clasă
îngrozit înspăimântat
depravat vicios
trei șaptezeci
dispărut mort
gingaș năzuros
inadmisibil inacceptabil
larg pungă
ineficace incapabil
cotit șerpuitor
ager sprinten
cretin retardat
treizeci și
atotcuprinzător larg
realizat îndeplinit
papal pontifical
împietrit încremenit
retardat redus
acut penetrant
pronunțat reliefat
aplecat diagonal
necuviincios nerespectuos
acoperit mascat
neistovit neobosit
obstinat stăruitor
destructiv dezastruos
etern necurmat
feroce înverșunat
epuizant obositor
găligan lungan
jigărit prizărit
setos însetat
sfios timid
profilactic preventiv
cuminte supus
tardiv târziu
subpământean subteran
jalnic lamentabil
sine stăpânit
sever teribil
vehement violent
neîncrezător sceptic
arzător torid
renăscut reînviat
deranjant perturbator
agasat enervat
aspru neprietenos
fascinat transportat
izbăvitor salvator
aprig înflăcărat
izolat tăinuit
bont tocit
arătos chipeș
neasemuit neîntrecut
fără rezerve
depreciat demonetizat
ondulat unduitor
brut neprelucrat
22 calibrul
făcut viguros
nedeslușit încurcat
lubric libidinos
maxim total
certăreț țâfnos
prosper înfloritor
nesupus nesubordonat
feciorelnic pur
gheboșat ghebos
comercial mercantil
murmurând susurând
înnorat închis
boțit mototolit
mârșav ticălos
deferent respectuos
corect onest
delicat tandru
proeminent însemnat
slab șubrezit
spasmodic spastic
netot tontălău
trufaș țanțoș
inoportun incomod
neîndurător necruțător
țăcănit țicnit
neclar vag
veștejit îngălbenit
îngreunat împovărat
armonios regulat
extravagant excentric
etern permanent
șovăielnic șovăitor
conciliant împăciuitor
modest slab
hotărât neclintit
jefuitor prădător
ezitant nedecis
comod facil
leneș puturos
brut grosolan
nonconformist neconformist
căință plin
bogat copios
productiv profitabil
activ aprins
perimat învechit
dotat talentat
avansat înaintat
fix imobil
artiodactil paricopitat
două între
impresionant izbitor
efemer temporar
subțire suplu
ciudat paradoxal
miez substanțial
stimulativ stimulator
perimat vetust
desperat eroic
necurmat nesfârșit
stupefiant uluitor
docil supus
decorativ ornamental
anacronistic anacronic
lucios poleit
existent prezent
băgăcios băgăreț
complet perfect
tentant îmbietor
clănțău palavragiu
lățos mițos
muzical melodios
irascibil impulsiv
impulsiv nestăpânit
prietenesc tovărășesc
ftizic tebecist
excepțional minunat
crucial capital
aberant ilogic
cumpănit socotit
maiestuos mândru
afrodisiac afrodiziac
de pe
recalcitrant refractar
amator diletant
inopinat neașteptat
închipuit încrezut
precedent premergător
neinstruit necultivat
cărunt încărunțit
de libertate
clandestin necinstit
necurmat sfârșit
înmărmurit înțepenit
grandilocvent înalt
destrăbălat stricat
cunoscut familiar
aranjat îngrijit
izbitor spectaculos
căzut preocupat
accentuat reliefat
târziu tardiv
funest fatal
defunct plecat
nătâng nătărău
lejer moale
absolvit exonerat
incalculabil nenumărat
invers opus
dezgustător greu
nearat nelucrat
minuțios pedant
netemător îndrăzneț
imbecil idiot
jalnic prăpădit
preacredincios smerit
bun-gust de
răpciugos uscățiv
alinător calmant
adecvat corespunzător
necrescut nedezvoltat
arcuit boltit
de ficat
bățos strict
rupt trudit
robust vânjos
răzvrătit rebel
indescifrabil ilizibil
mototol molâu
netăgăduit neîndoielnic
stelar sideral
ciudat inexplicabil
riguros strict
nesubordonat recalcitrant
nesfârșit veșnic
credincios cuvios
bas profund
fatal ucigător
cu îngrijorat
eroic expansiv
impulsiv impetuos
oportun prielnic
modest umil
îndeplinit înfăptuit
aplecat cocârjat
condimentat iute
inutil necerut
electric electrizant
respectuos reverențios
fizic somatic
nestăpânit violent
submarin submersibil
elementar simplu
împietrit înghețat
buimăcitor stupefiant
pene îngâmfat
vitriolant veninos
libertate robit
stimulator stimulant
arzător canicular
amețit buimăcit
efemer vremelnic
acerb necruțător
acut puternic
abrupt neașteptat
lățit turtit
ironic sec
rugos zgrunțuros
nestăpânit tumultuos
groaznic negru
abominabil execrabil
atent tacticos
firav plăpând
neașteptat neprevăzut
neîncrezător suspicios
enigmatic tainic
imperceptibil nesimțit
nativ înnăscut
nepământean straniu
pernicios ucigaș
neuronic neuronal
decedat țeapăn
vesel voios
puternic tare
cu drepturi
inegalabil neasemănat
negricios tuciuriu
milităresc ostășesc
autoritar important
sâcâitor supărător
bun zdravăn
implacabil inexorabil
dezonorant înjositor
eficient efectiv
fără veșnic
licit legitim
contrafăcut falsificat
camuflat mascat
părere regrete
mortal nimicitor
limpede străveziu
excitator excitant
fantezist fantasmagoric
reliefat vizibil
infatuat pene
famelic răpciugos
inapt incapabil
fastuos luxos
comunicativ volubil
anonim necunoscut
expandabil expansibil
palavragiu vorbă-lungă
diafan străveziu
jegos murdar
dosnic tăinuit
jegos mânjit
sârguincios silitor
bun nestricat
amabil bun
cumpănit stăpânit
bărbătesc viril
nesigur nehotărât
capul în
culise secret
civilizat manierat
irecuperabil nerecuperabil
cabalistic sibilinic
macabru îngrozitor
fracționat scindat
nesatisfăcut nemulțumit
infinitezimal microscopic
propriu particular
neloial necurat
remarcabil singular
paradiziac paradisiac
tolerant îngăduitor
mitocan mojic
dulce proaspăt
drăguț minunat
neîntrecut neasemuit
indiscutabil implicit
coroziv caustic
apreciat considerat
temut înfricoșător
neîngăduit oprit
depărtat ratat
nediluat neamestecat
cucernic evlavios
necinstit necurat
călit oțelit
furiș hoțește
jigărit pirpiriu
cristalin transparent
limpede transparent
accesibil abordabil
netăiat necosit
împlinit înfăptuit
ridicat înalt
nestatornic schimbător
denigrat discreditat
minuțios migălos
imaculat impecabil
mutual reciproc
repulsiv respingător
captiv prins
